rootfile,date,run,stream,total,npu,pu
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.anabel.test-spmethod-anabel--1026-1.00366011.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1026-1,366011,PCPEB,k1029_m2048,60466805,60466354,451
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.anabel.test-spmethod-anabel--1026-1.00366092.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1026-1,366092,PCPEB,k1029_m2048,61208066,61206623,1443
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.anabel.test-spmethod-anabel--1026-1.00366268.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1026-1,366268,PCPEB,k1029_m2048,90450859,90450260,599
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.anabel.test-spmethod-anabel--1026-1.00367170.calibration_CCPEB.k1029_m2048.1026-1.tot.root,-1026-1,367170,CCPEB,k1029_m2048,47273142,47256478,16664
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.anabel.test-spmethod-anabel--1026-1.00367318.calibration_CCPEB.k1029_m2048.1026-1.tot.root,-1026-1,367318,CCPEB,k1029_m2048,53245006,53206917,38089
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.anabel.test-spmethod-anabel--1026-1.00367321.calibration_CCPEB.k1029_m2048.1028-1.tot.root,-1026-1,367321,CCPEB,k1029_m2048,50920679,50880401,40278
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.anabel.test-spmethod-anabel--1026-1.00367363.calibration_CCPEB.k1029_m2048.1026-1.tot.root,-1026-1,367363,CCPEB,k1029_m2048,1550172,1546601,3571
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.anabel.test-spmethod-anabel--1026-1.00367364.calibration_CCPEB.k1029_m2048.1026-1.tot.root,-1026-1,367364,CCPEB,k1029_m2048,53754866,53710955,43911
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.anabel.test-spmethod-anabel--1026-1.00367365.calibration_CCPEB.k1029_m2048.1028-1.tot.root,-1026-1,367365,CCPEB,k1029_m2048,24819382,24790853,28529
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00366337.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1030-2,366337,PCPEB,k1029_m2048,73964397,73964198,199
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00366383.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1030-2,366383,PCPEB,k1029_m2048,596779,596779,0
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00366413.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1030-2,366413,PCPEB,k1029_m2048,57224525,57224243,282
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00366526.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1030-2,366526,PCPEB,k1029_m2048,202757,202757,0
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00366528.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1030-2,366528,PCPEB,k1029_m2048,38681057,38680946,111
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00366627.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1030-2,366627,PCPEB,k1029_m2048,50521778,50521689,89
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00366691.calibration_PCPEB.k1029_m2048.1028-1.tot.root,-1030-2,366691,PCPEB,k1029_m2048,67858219,67858132,87
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00366754.calibration_PCPEB.k1029_m2048.1201-1.tot.root,-1030-2,366754,PCPEB,k1029_m2048,59161898,59161817,81
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00366805.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1030-2,366805,PCPEB,k1029_m2048,44582389,44582334,55
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00366860.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1030-2,366860,PCPEB,k1029_m2048,55525395,55525304,91
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00366878.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1030-2,366878,PCPEB,k1029_m2048,59483585,59483420,165
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00366931.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1030-2,366931,PCPEB,k1029_m2048,42339780,42339302,478
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00366994.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1030-2,366994,PCPEB,k1029_m2048,1141672,1141645,27
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00367023.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1030-2,367023,PCPEB,k1029_m2048,65262236,65261649,587
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00367134.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1030-2,367134,PCPEB,k1029_m2048,60539743,60538463,1280
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00367165.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1030-2,367165,PCPEB,k1029_m2048,198673,198658,15
