rootfile,date,run,stream,total,npu,pu
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00366413.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1030-2,366413,PCPEB,57224525,57224243,282
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00366526.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1030-2,366526,PCPEB,202757,202757,0
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00366528.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1030-2,366528,PCPEB,38681057,38680946,111
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00366627.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1030-2,366627,PCPEB,50521778,50521689,89
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00366691.calibration_PCPEB.k1029_m2048.1028-1.tot.root,-1030-2,366691,PCPEB,67858219,67858132,87
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00366754.calibration_PCPEB.k1029_m2048.1201-1.tot.root,-1030-2,366754,PCPEB,59161898,59161817,81
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00366805.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1030-2,366805,PCPEB,44582389,44582334,55
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00366860.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1030-2,366860,PCPEB,55525395,55525304,91
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00366878.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1030-2,366878,PCPEB,59483585,59483420,165
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00366931.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1030-2,366931,PCPEB,42339780,42339302,478
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00366994.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1030-2,366994,PCPEB,1141672,1141645,27
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00367023.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1030-2,367023,PCPEB,65262236,65261649,587
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00367134.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1030-2,367134,PCPEB,60539743,60538463,1280
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00367165.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1030-2,367165,PCPEB,198673,198658,15
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00367170.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1030-2,367170,PCPEB,52760065,52759426,639
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00367318.calibration_PCPEB.k1029_m2048.1028-1.tot.root,-1030-2,367318,PCPEB,45944198,45942687,1511
